snippet,intent
ordered_dict.popitem(last=True),"The popitem ( ) method for ordered dictionaries returns and removes a ( key , value ) pair . The pairs are returned in LIFO order if `last` is true or FIFO order if false ."
"os.execve(path, args, env)","These functions all execute a new program , replacing the current process ; they do not return . The other variants , execl ( ) , execle ( ) , execv ( ) , and execve ( ) , will not use the PATH variable to locate the executable ; `path` must contain an appropriate absolute or relative path . The “ v ” variants are good when the number of parameters is variable , with the arguments being passed in a list or tuple as the `args` parameter . For execle ( ) , execlpe ( ) , execve ( ) , and execvpe ( ) ( note that these all end in “ e ” ) , the `env` parameter must be a mapping which is used to define the environment variables for the new process ( these are used instead of the current process ’ environment ) ; the functions execl ( ) , execlp ( ) , execv ( ) , and execvp ( ) all cause the new process to inherit the environment of the current process ."
timeit.timeit(timer=<default timer>),"Create a Timer instance with the given statement , `setup` code and `timer` function and run its timeit ( ) method with `number` executions ."
NameError,Raised when a local or global name is not found.
"compile(source, filename, mode)","Compile the `source` into a code or AST object . The `filename` argument should give the file from which the code was read ; pass some recognizable value if it wasn ’ t read from a file ( ' < string > ' is commonly used ) . The `mode` argument specifies what kind of code must be compiled ; it can be 'exec ' if source consists of a sequence of statements , 'eval ' if it consists of a single expression , or 'single ' if it consists of a single interactive statement ( in the latter case , expression statements that evaluate to something other than None will be printed ) ."
"locale.strcoll(string1, string2)","Compares two strings according to the current LC_COLLATE setting . As any other compare function , returns a negative , or a positive value , or 0 , depending on whether `string1` collates before or after `string2` or is equal to it ."
"os.getrandom(size, flags=0)",Get up to `size` random bytes . The `flags` argument is a bit mask that can contain zero or more of the following values ORed together : os.GRND_RANDOM and GRND_NONBLOCK .
datetime.timedelta(milliseconds=0),All arguments are optional and default to 0 . With arguments `milliseconds`.
"IMAP4.login(user, password)",Identify the client using a plaintext `password` . With arguments `user`.
curses.mouseinterval(interval),"Set the maximum time in milliseconds that can elapse between press and release events in order for them to be recognized as a click , and return the previous `interval` value ."
array.pop(i),Removes the item with the index `i` from the array and returns it .
"webbrowser.register(name, constructor, preferred=False)","Register the browser type `name` . If `instance` is not provided , or is None , `constructor` will be called without parameters to create an instance when needed . Setting `preferred` to True makes this browser a preferred result for a get ( ) call with no argument ."
"sqlite3.connect(database, timeout, detect_types, isolation_level, check_same_thread, factory, cached_statements, uri)","Opens a connection to the SQLite `database` file database . The `timeout` parameter specifies how long the connection should wait for the lock to go away until raising an exception . The `detect_types` parameter and the using custom converters registered with the module-level register_converter ( ) function allow you to easily do that . For the `isolation_level` parameter , please see the isolation_level property of Connection objects . By default , `check_same_thread` is True and only the creating thread may use the connection . By default returns a Connection object , unless a custom `factory` is given . If you want to explicitly set the number of statements that are cached for the connection , you can set the `cached_statements` parameter . If `uri` is true , database is interpreted as a URI ."
"colorsys.hsv_to_rgb(h, s, v)","Convert the color from HSV coordinates to RGB coordinates . With arguments `h`, `s`, `v`."
"random.choices(population, weights=None)","Return a `k` sized list of elements chosen from the `population` with replacement . If a `weights` sequence is specified , selections are made according to the relative weights ."
complex(),Return a complex number with the value `real` + imag*1j or convert a string or number to a complex number .
oct(x),"Convert an integer number to an octal string prefixed with “ 0o ” . If `x` is not a Python int object , it has to define an __index__ ( ) method that returns an integer ."
os._exit(n),"Exit the process with status `n` , without calling cleanup handlers , flushing stdio buffers , etc ."
Match.expand(template),"Return the string obtained by doing backslash substitution on the `template` string template , as done by the sub ( ) method ."
"os.renames(old, new)","Recursive directory or file renaming function . After the rename , directories corresponding to rightmost path segments of the `old` name will be pruned away using removedirs ( ) . Works like rename ( ) , except creation of any intermediate directories needed to make the `new` pathname good is attempted first ."
"xml.dom.minidom.parseString(string, parser=None)",Return a Document that represents the `string` . With arguments `parser`.
"pickletools.dis(pickle, out=None, indentlevel=4)","Outputs a symbolic disassembly of the `pickle` to the file-like object `out` , defaulting to sys.stdout . Successive levels , indicated by MARK opcodes in the stream , are indented by `indentlevel` spaces ."
urllib.request.URLopener(**x509),Base class for opening and reading URLs . With arguments `**x509`.
asyncio.set_event_loop(loop),Set `loop` as a current event loop for the current OS thread .
"HTTPConnection.request(method, url, body=None)","This will send a request to the server using the HTTP request `method` method and the selector `url` . If `body` is specified , the specified data is sent after the `headers` are finished ."
deque.remove(value),Remove the first occurrence of `value` .
"bisect.bisect_left(a, x, lo=0)",Locate the insertion point for `x` in `a` to maintain sorted order . The parameters `lo` and `hi` may be used to specify a subset of the list which should be considered ; by default the entire list is used .
datetime.__str__(),"For a datetime instance d , str ( d ) is equivalent to d.isoformat ( ' ' ) ."
tuple(iterable),"Rather than being a function , tuple is actually an immutable sequence type , as documented in Tuples and Sequence Types — list , tuple , range . With arguments `iterable`."
concurrent.futures.wait(fs),Wait for the Future instances ( possibly created by different Executor instances ) given by `fs` to complete .
window.delch(y),"Delete any character at ( `y` , `x` ) ."
queue.put(item),Put an `item` into the queue .
"datetime.combine(date, time)","Return a new datetime object whose `date` components are equal to the given date object ’ s , and whose `time` components are equal to the given time object ’ s ."
"os.makedev(major, minor)",Compose a raw device number from the `major` and `minor` device numbers .
"OSError(errno, strerror, filename)","This exception is raised when a system function returns a system-related error , including I/O failures such as “ file not found ” or “ disk full ” ( not for illegal argument types or other incidental errors ) . The particular subclass depends on the final `errno` value . With arguments `strerror`, `filename`."
test.support.record_original_stdout(stdout),Store the value from `stdout` .
"context.fma(x, y, z)","Returns `x` multiplied by `y` , plus `z` ."
aifc.getmark(id),Return the tuple as described in getmarkers ( ) for the mark with the given `id` .
"calendar.prcal(year, w=0)",Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `w`.
"http.client.HTTPResponse(sock, url=None)","Class whose instances are returned upon successful connection . With arguments `sock`, `url`."
ArgumentParser.error(message),This method prints a usage `message` including the message to the standard error and terminates the program with a status code of 2 .
Telnet.read_until(expected),"Read until a given byte string , `expected` , is encountered or until `timeout` seconds have passed ."
"snapshot.statistics(key_type: str, cumulative: bool=False)","Get statistics as a sorted list of Statistic instances grouped by key_type : With arguments `key_type: str`, `cumulative: bool`."
eval(expression),"The arguments are a string and optional `globals` and `locals` . The `expression` argument is parsed and evaluated as a Python expression ( technically speaking , a condition list ) using the globals and locals dictionaries as global and local namespace ."
"logging.LoggerAdapter(logger, extra)","Returns an instance of LoggerAdapter initialized with an underlying Logger instance and a dict-like object . With arguments `logger`, `extra`."
"fcntl.lockf(fd, cmd, len=0)","This is essentially a wrapper around the fcntl ( ) locking calls . `fd` is the file descriptor of the file to lock or unlock , and `cmd` is one of the following values : `len` is the number of bytes to lock , `start` is the byte offset at which the lock starts , relative to `whence` , and whence is as with io.IOBase.seek ( ) , specifically :"
"unittest.mock.patch(target, **kwargs, new=DEFAULT)","patch ( ) acts as a function decorator , class decorator or a context manager . Inside the body of the function or with statement , the `target` is patched with a `new` object . With arguments `**kwargs`."
xmlrpc.client.ServerProxy(uri),A ServerProxy instance is an object that manages communication with a remote XML-RPC server . With arguments `uri`.
"cmath.isclose(a, b)",Return True if the values `a` and `b` are close to each other and False otherwise .
"test_case.assertAlmostEqual(first, second, places=7)","Test that `first` and `second` are approximately ( or not approximately ) equal by computing the difference , rounding to the given number of decimal `places` ( default 7 ) , and comparing to zero ."
"traceback_exception.from_exception(exc, lookup_lines=True)","Capture an exception for later rendering . `limit` , `lookup_lines` and `capture_locals` are as for the StackSummary class . With arguments `exc`."
"doc_test_finder.find(obj, name, module)","Return a list of the DocTests that are defined by `obj` ’ s docstring , or by any of its contained objects ’ docstrings . The optional argument `name` specifies the object ’ s name ; this name will be used to construct names for the returned DocTests . The optional parameter `module` is the module that contains the given object ."
TarFile.list(verbose=True),"Print a table of contents to sys.stdout . If `verbose` is False , only the names of the `members` are printed ."
compileall.compile_path(optimize=-1),Byte-compile all the .py files found along sys.path . With arguments `optimize`.
os.WCOREDUMP(status),"Return True if a core dump was generated for the process , otherwise return False . With arguments `status`."
"isinstance(object, classinfo)","Return true if the `object` argument is an instance of the `classinfo` argument , or of a ( direct , indirect or virtual ) subclass thereof ."
inspect.getinnerframes(traceback),Get a list of frame records for a `traceback` ’ s frame and all inner frames .
mailcap.findmatch(caps),"Return a 2-tuple ; the first element is a string containing the command line to be executed ( which can be passed to os.system ( ) ) , and the second element is the mailcap entry for a given MIME type . With arguments `caps`."
"breakpoint(*args, **kws)","This function drops you into the debugger at the call site . With arguments `*args`, `**kws`."
socket.getservbyport(port),Translate an Internet `port` number and protocol name to a service name for that service .
"base64.b64encode(s, altchars=None)",Encode the bytes-like object `s` using Base64 and return the encoded bytes . Optional `altchars` must be a bytes-like object of at least length 2 ( additional characters are ignored ) which specifies an alternative alphabet for the + and / characters .
test_loader.loadTestsFromNames(names),"Similar to loadTestsFromName ( ) , but takes a sequence of `names` rather than a single name ."
"text_calendar.formatyear(theyear, w=2, m=3)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`, `m`."
dataclasses.field(compare=True),"For common and simple use cases , no other functionality is required . With arguments `compare`."
loop.default_exception_handler(context),Default exception handler . `context` parameter has the same meaning as in call_exception_handler ( ) .
IMAP4.debug,Integer value to control debugging output.
os.wait3(options),"Similar to waitpid ( ) , except no process id argument is given and a 3-element tuple containing the child ’ s process id , exit status indication , and resource usage information is returned . With arguments `options`."
"window.setscrreg(top, bottom)",Set the scrolling region from line `top` to line `bottom` .
id(object),Return the “ identity ” of an `object` .
"gzip.open(filename, newline=None)","Open a gzip-compressed file in binary or text `mode` , returning a file object . The `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to . In this case , the `encoding` , `errors` and `newline` arguments must not be provided ."
"shutil.make_archive(base_name, format, root_dir, base_dir, verbose, dry_run, owner)","Create an archive file ( such as zip or tar ) and return its name . `base_name` is the name of the file to create , including the path , minus any format-specific extension . `format` is the archive format : one of “ zip ” ( if the zlib module is available ) , “ tar ” , “ gztar ” ( if the zlib module is available ) , “ bztar ” ( if the bz2 module is available ) , or “ xztar ” ( if the lzma module is available ) . `root_dir` is a directory that will be the root directory of the archive ; for example , we typically chdir into root_dir before creating the archive . `base_dir` is the directory where we start archiving from ; i.e . The `verbose` argument is unused and deprecated . If `dry_run` is true , no archive is created , but the operations that would be executed are logged to `logger` . `owner` and `group` are used when creating a tar archive ."
curses.keyname(k),Return the name of the key numbered `k` as a bytes object .
IMAP4.enable(capability),Enable `capability` ( see RFC 5161 ) .
asyncio.isfuture(obj),Return True if `obj` is either of :
iter(context),Return an iterator over the variables stored in the `context` object .
"DTDHandler.unparsedEntityDecl(name, publicId, systemId, ndata)","Handle an unparsed entity declaration event . With arguments `name`, `publicId`, `systemId`, `ndata`."
"select.kevent(ident, udata=0)","( Only supported on BSD . ) With arguments `ident`, `udata`."
SIG*,All the signal numbers are defined symbolically.
"platform.libc_ver(executable=sys.executable, lib='')","Tries to determine the libc `version` against which the file `executable` ( defaults to the Python interpreter ) is linked . Returns a tuple of strings ( `lib` , version ) which default to the given parameters in case the lookup fails ."
"shutil.rmtree(path, onerror=None)","Delete an entire directory tree ; `path` must point to a directory ( but not a symbolic link to a directory ) . If `ignore_errors` is true , errors resulting from failed removals will be ignored ; if false or omitted , such errors are handled by calling a handler specified by `onerror` or , if that is omitted , they raise an exception ."
"random.choices(population, weights=None)","Return a `k` sized list of elements chosen from the `population` with replacement . If a `weights` sequence is specified , selections are made according to the relative weights ."
"int.from_bytes(bytes, byteorder, signed=False)",Return the integer represented by the given array of `bytes` . The `byteorder` argument determines the byte order used to represent the integer . The `signed` argument indicates whether two ’ s complement is used to represent the integer .
property(fget=None),Return a property attribute . `fget` is a function for getting an attribute value .
AssertionError,Raised when an assert statement fails.
queue_listener.addFilter(filter),Adds the specified `filter` filter to this logger .
"ctypes.byref(obj, offset)","Returns a light-weight pointer to `obj` , which must be an instance of a ctypes type . `offset` defaults to zero , and must be an integer that will be added to the internal pointer value ."
"message.set_param(param, value, replace=False)","Set a parameter in the Content-Type `header` . If the parameter already exists in the header , its `value` will be replaced with value . If `replace` is False ( the default ) the header is moved to the end of the list of headers . With arguments `param`."
pdb.set_trace(header=None),"Enter the debugger at the calling stack frame . If given , `header` is printed to the console just before debugging begins ."
"zlib.compressobj(level=-1, strategy=Z_DEFAULT_STRATEGY)","Returns a compression object , to be used for compressing data streams that won ’ t fit into memory at once . `level` is the compression level – an integer from 0 to 9 or -1 . `strategy` is used to tune the compression algorithm ."
"str(encoding='utf-8', errors='strict')","Return a str version of `object` . With arguments `encoding`, `errors`."
"epoll.poll(timeout=-1, maxevents=-1)",Wait for events . `timeout` in seconds ( float ) With arguments `maxevents`.
"msilib.init_database(name, schema, ProductName, ProductCode, ProductVersion, Manufacturer)","Create and return a new database `name` , initialize it with `schema` , and set the properties `ProductName` , `ProductCode` , `ProductVersion` , and `Manufacturer` ."
"bisect.bisect_left(a, x, hi=len(a))",Locate the insertion point for `x` in `a` to maintain sorted order . The parameters `lo` and `hi` may be used to specify a subset of the list which should be considered ; by default the entire list is used .
ensurepip.bootstrap(user=False),Bootstraps pip into the current or designated environment . `user` indicates whether to use the user scheme rather than installing globally .
IMAP4.check(),Checkpoint mailbox on server .
"shelve.Shelf(dict, writeback=False)","A subclass of collections.abc.MutableMapping which stores pickled values in the `dict` object . If the `writeback` parameter is True , the object will hold a cache of all entries accessed and write them back to the dict at sync and close times ."
tuple(iterable),"Rather than being a function , tuple is actually an immutable sequence type , as documented in Tuples and Sequence Types — list , tuple , range . With arguments `iterable`."
element.iter(tag=None),"Creates a tree iterator with the current element as the root . If `tag` is not None or '* ' , only elements whose tag equals tag are returned from the iterator ."
vars(),"Return the __dict__ attribute for a module , class , instance , or any other `object` with a __dict__ attribute ."
"slice(start, stop)","Return a slice object representing the set of indices specified by range ( `start` , `stop` , `step` ) ."
"re.search(pattern, string, flags=0)","Scan through `string` looking for the first location where the regular expression `pattern` produces a match , and return a corresponding match object . With arguments `flags`."
stream_reader.readexactly(n),Read exactly `n` bytes .
"widget.set(item, value=None)","With one argument , returns a dictionary of column/value pairs for the specified `item` . With two arguments , returns the current `value` of the specified `column` ."
"mmap.flush(offset, size)","Flushes changes made to the in-memory copy of a file back to disk . If `offset` and `size` are specified , only changes to the given range of bytes will be flushed to disk ; otherwise , the whole extent of the mapping is flushed ."
test_loader.loadTestsFromNames(names),"Similar to loadTestsFromName ( ) , but takes a sequence of `names` rather than a single name ."
loop.getnameinfo(sockaddr),Asynchronous version of socket.getnameinfo ( ) . With arguments `sockaddr`.
False,The false value of the bool type.
"compile(source, filename, mode)","Compile the `source` into a code or AST object . The `filename` argument should give the file from which the code was read ; pass some recognizable value if it wasn ’ t read from a file ( ' < string > ' is commonly used ) . The `mode` argument specifies what kind of code must be compiled ; it can be 'exec ' if source consists of a sequence of statements , 'eval ' if it consists of a single expression , or 'single ' if it consists of a single interactive statement ( in the latter case , expression statements that evaluate to something other than None will be printed ) ."
ContentHandler.characters(content),Receive notification of character data . `content` may be a string or bytes instance ; the expat reader module always produces strings .
"shutil.make_archive(base_name, format, root_dir, base_dir, verbose, dry_run, owner)","Create an archive file ( such as zip or tar ) and return its name . `base_name` is the name of the file to create , including the path , minus any format-specific extension . `format` is the archive format : one of “ zip ” ( if the zlib module is available ) , “ tar ” , “ gztar ” ( if the zlib module is available ) , “ bztar ” ( if the bz2 module is available ) , or “ xztar ” ( if the lzma module is available ) . `root_dir` is a directory that will be the root directory of the archive ; for example , we typically chdir into root_dir before creating the archive . `base_dir` is the directory where we start archiving from ; i.e . The `verbose` argument is unused and deprecated . If `dry_run` is true , no archive is created , but the operations that would be executed are logged to `logger` . `owner` and `group` are used when creating a tar archive ."
@dataclasses.dataclass(init=True),"This function is a decorator that is used to add generated special methods to classes , as described below . With arguments `init`."
list.sort(key=None),"This method sorts the list in place , using only < comparisons between items . `key` specifies a function of one argument that is used to extract a comparison key from each list element ( for example , key=str.lower ) ."
incremental_encoder.setstate(state),Set the `state` of the encoder to state .
BufferedProtocol.buffer_updated(nbytes),Called when the buffer was updated with the received data . `nbytes` is the total number of bytes that were written to the buffer .
"ArgumentParser.add_argument(name or flags..., action, nargs, const, default, type, choices, required, help, metavar, dest)","Define how a single command-line argument should be parsed . With arguments `name or flags...`, `action`, `nargs`, `const`, `default`, `type`, `choices`, `required`, `help`, `metavar`, `dest`."
"text_calendar.formatyear(theyear, w=2, c=6)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`."
"deque.index(x, start)",Return the position of `x` in the deque ( at or after index `start` and before index `stop` ) .
"config_parser.read_string(string, source='<string>')",Parse configuration data from a `string` . Optional argument `source` specifies a context-specific name of the string passed .
weakref.WeakSet(elements),Set class that keeps weak references to its `elements` .
KeyboardInterrupt,Raised when the user hits the interrupt key (normally Control-C or Delete).
"glob.glob(pathname, recursive=False)","Return a possibly-empty list of path names that match `pathname` , which must be a string containing a path specification . If `recursive` is true , the pattern “ ** ” will match any files and zero or more directories , subdirectories and symbolic links to directories ."
POP3.utf8(),Try to switch to UTF-8 mode .
"code.interact(banner=None, local=None)","Convenience function to run a read-eval-print loop . The interact ( ) method of the instance is then run with `banner` and `exitmsg` passed as the banner and exit message to use , if provided . If `local` is provided , it is passed to the InteractiveConsole constructor for use as the default namespace for the interpreter loop ."
os.get_handle_inheritable(handle),Get the “ inheritable ” flag of the specified `handle` ( a boolean ) .
var in context,Return True if the context has a value for var set; return False otherwise.
sorted(iterable),Return a new sorted list from the items in `iterable` .
"modulefinder.ModuleFinder(path=None, debug=0)","This class provides run_script ( ) and report ( ) methods to determine the set of modules imported by a script . `path` can be a list of directories to search for modules ; if not specified , sys.path is used . `debug` sets the debugging level ; higher values make the class print debugging messages about what it ’ s doing ."
"calendar.calendar(year, l=1, m=3)","Returns a 3-column calendar for an entire `year` as a multi-line string using the formatyear ( ) of the TextCalendar class . With arguments `l`, `m`."
vars(),"Return the __dict__ attribute for a module , class , instance , or any other `object` with a __dict__ attribute ."
curses.keyname(k),Return the name of the key numbered `k` as a bytes object .
cgitb.text(info),"This function handles the exception described by `info` ( a 3-tuple containing the result of sys.exc_info ( ) ) , formatting its traceback as text and returning the result as a string ."
"isinstance(object, classinfo)","Return true if the `object` argument is an instance of the `classinfo` argument , or of a ( direct , indirect or virtual ) subclass thereof ."
"Request.add_unredirected_header(key, header)",Add a `header` that will not be added to a redirected request . With arguments `key`.
loop.getnameinfo(sockaddr),Asynchronous version of socket.getnameinfo ( ) . With arguments `sockaddr`.
"ArgumentParser.add_argument(name or flags..., action, nargs, const)","Define how a single command-line argument should be parsed . With arguments `name or flags...`, `action`, `nargs`, `const`."
BaseCookie.output(sep='\r\n'),"Return a string representation suitable to be sent as HTTP headers . `sep` is used to join the headers together , and is by default the combination '\r\n ' ( CRLF ) ."
"tempfile.mktemp(suffix='', dir=None)","Return an absolute pathname of a file that did not exist at the time the call is made . The `prefix` , `suffix` , and `dir` arguments are similar to those of mkstemp ( ) , except that bytes file names , suffix=None and prefix=None are not supported ."
"random.seed(a=None, version=2)","Initialize the random number generator . If `a` is omitted or None , the current system time is used . With `version` 2 ( the default ) , a str , bytes , or bytearray object gets converted to an int and all of its bits are used ."
"winreg.CreateKeyEx(key, sub_key, access=KEY_WRITE)","Creates or opens the specified `key` , returning a handle object . `sub_key` is a string that names the key this method opens or creates . `access` is an integer that specifies an access mask that describes the desired security access for the key ."
socket.getservbyport(port),Translate an Internet `port` number and protocol name to a service name for that service .
readline.set_auto_history(enabled),"Enable or disable automatic calls to add_history ( ) when reading input via readline . The `enabled` argument should be a Boolean value that when true , enables auto history , and that when false , disables auto history ."
"open(file, mode='r')",Open `file` and return a corresponding file object . `mode` is an optional string that specifies the mode in which the file is opened .
encodings.idna.nameprep(label),Return the nameprepped version of `label` .
"cgitb.enable(display=1, context=5)",This function causes the cgitb module to take over the interpreter ’ s default handling for exceptions by setting the value of sys.excepthook . The optional argument `display` defaults to 1 and can be set to 0 to suppress sending the traceback to the browser . The optional argument `context` is the number of lines of context to display around the current line of source code in the traceback ; this defaults to 5 .
"random.betavariate(alpha, beta)",Beta distribution . Conditions on the parameters are `alpha` > 0 and `beta` > 0 .
"divmod(a, b)","Take two ( non complex ) numbers as arguments and return `a` pair of numbers consisting of their quotient and remainder when using integer division . For integers , the result is the same as ( a // `b` , a % b ) ."
"CookieJar.clear(domain, path)","Clear some cookies . If given a single argument , only cookies belonging to that `domain` will be removed . If given two arguments , cookies belonging to the specified domain and URL `path` are removed ."
"FTP.mlsd(path="""")",List a directory in a standardized format by using MLSD command ( RFC 3659 ) . If `path` is omitted the current directory is assumed .
"sqlite3.connect(database, timeout, detect_types, isolation_level, check_same_thread, factory, cached_statements)","Opens a connection to the SQLite `database` file database . The `timeout` parameter specifies how long the connection should wait for the lock to go away until raising an exception . The `detect_types` parameter and the using custom converters registered with the module-level register_converter ( ) function allow you to easily do that . For the `isolation_level` parameter , please see the isolation_level property of Connection objects . By default , `check_same_thread` is True and only the creating thread may use the connection . By default returns a Connection object , unless a custom `factory` is given . If you want to explicitly set the number of statements that are cached for the connection , you can set the `cached_statements` parameter ."
"os.tcsetpgrp(fd, pg)",Set the process group associated with the terminal given by `fd` ( an open file descriptor as returned by os.open ( ) ) to `pg` .
"difflib.get_close_matches(word, possibilities, n=3)","Return a list of the best “ good enough ” matches . `word` is a sequence for which close matches are desired ( typically a string ) , and `possibilities` is a list of sequences against which to match word ( typically a list of strings ) . Optional argument `n` ( default 3 ) is the maximum number of close matches to return ; n must be greater than 0 ."
element.find(match),Finds the first subelement matching `match` .
TimeoutError,Raised when a system function timed out at the system level.
aifc.setpos(pos),Seek to the specified frame number . With arguments `pos`.
"test_case.assertRaisesRegex(exception, regex)",Like assertRaises ( ) but also tests that `regex` matches on the string representation of the raised `exception` .
aifc.setpos(pos),Seek to the specified frame number . With arguments `pos`.
"socket.sendmsg_afalg(msg, op, iv)","Specialized version of sendmsg ( ) for AF_ALG socket . With arguments `msg`, `op`, `iv`."
"CookieJar.extract_cookies(response, request)","Extract cookies from HTTP `response` and store them in the CookieJar , where allowed by policy . The `request` object ( usually a urllib.request.Request instance ) must support the methods get_full_url ( ) , get_host ( ) , unverifiable ( ) , and origin_req_host attribute , as documented by urllib.request ."
Match.expand(template),"Return the string obtained by doing backslash substitution on the `template` string template , as done by the sub ( ) method ."
"element_tree.write(file, method=""xml"")","Writes the element tree to a `file` , as XML . `method` is either `` xml '' , `` html '' or `` text '' ( default is `` xml '' ) ."
"zlib.compress(data, level=-1)","Compresses the bytes in `data` , returning a bytes object containing compressed data . `level` is an integer from 0 to 9 or -1 controlling the level of compression ; 1 ( Z_BEST_SPEED ) is fastest and produces the least compression , 9 ( Z_BEST_COMPRESSION ) is slowest and produces the most ."
IMAP4.debug,Integer value to control debugging output.
