snippet,intent
"widget.insert(parent, index, **kw)","Creates a new item and returns the item identifier of the newly created item . `parent` is the item ID of the parent item , or the empty string to create a new top-level item . `index` is an integer , or the value “ end ” , specifying where in the list of parent ’ s children to insert the new item . With arguments `**kw`."
"turtle.onclick(fun, btn=1, add=None)","Bind `fun` to mouse-click events on this turtle . With arguments `btn`, `add`."
urllib.parse.urlunparse(parts),Construct a URL from a tuple as returned by urlparse ( ) . The `parts` argument can be any six-item iterable .
"xmlparser.AttlistDeclHandler(elname, attname, type, default, required)","Called for each declared attribute for an element `type` . `elname` is the name of the element to which the declaration applies and `attname` is the name of the attribute declared . The attribute type is a string passed as type ; the possible values are 'CDATA ' , 'ID ' , 'IDREF ' , … `default` gives the default value for the attribute used when the attribute is not specified by the document instance , or None if there is no default value ( # IMPLIED values ) . If the attribute is `required` to be given in the document instance , required will be true ."
"save_signals.matches(self, d, **kwargs)","Try to match a single dict with the supplied arguments . With arguments `self`, `d`, `**kwargs`."
"decimal.fma(other, third)","Fused multiply-add . With arguments `other`, `third`."
@dataclasses.dataclass(init=True),"This function is a decorator that is used to add generated special methods to classes , as described below . With arguments `init`."
random.Random(seed),Class that implements the default pseudo-random number generator used by the random module . With arguments `seed`.
time.__str__(),"For a time t , str ( t ) is equivalent to t.isoformat ( ) ."
ArgumentParser.exit(status=0),"This method terminates the program , exiting with the specified `status` and , if given , it prints a `message` before that ."
"widget.bbox(item, column=None)","Returns the bounding box ( relative to the treeview widget ’ s window ) of the specified `item` in the form ( x , y , width , height ) . If `column` is specified , returns the bounding box of that cell ."
"timeit.timeit(stmt='pass', globals=None)","Create a Timer instance with the given statement , `setup` code and `timer` function and run its timeit ( ) method with `number` executions . The optional `globals` argument specifies a namespace in which to execute the code . With arguments `stmt`."
"cgitb.enable(display=1, format=""html"")","This function causes the cgitb module to take over the interpreter ’ s default handling for exceptions by setting the value of sys.excepthook . The optional argument `display` defaults to 1 and can be set to 0 to suppress sending the traceback to the browser . If the optional argument `format` is `` html '' , the output is formatted as HTML ."
"OSError(errno, strerror)","This exception is raised when a system function returns a system-related error , including I/O failures such as “ file not found ” or “ disk full ” ( not for illegal argument types or other incidental errors ) . The particular subclass depends on the final `errno` value . With arguments `strerror`."
future.set_result(result),Mark the Future as done and set its `result` .
array._length_,A positive integer specifying the number of elements in the array.
timeit.timeit(stmt='pass'),"Create a Timer instance with the given statement , `setup` code and `timer` function and run its timeit ( ) method with `number` executions . With arguments `stmt`."
inspect.getmro(cls),"Return a tuple of class `cls` ’ s base classes , including cls , in method resolution order ."
sequence_matcher.get_grouped_opcodes(n=3),Return a generator of groups with up to `n` lines of context .
"cgi.escape(s, quote=False)","Convert the characters ' & ' , ' < ' and ' > ' in string `s` to HTML-safe sequences . If the optional flag `quote` is true , the quotation mark character ( `` ) is also translated ; this helps for inclusion in an HTML attribute value delimited by double quotes , as in < a href= '' ... '' > ."
"logging.handlers.HTTPHandler(host, url, method='GET')","Returns a new instance of the HTTPHandler class . The `host` can be of the form host : port , should you need to use a specific port number . If no `method` is specified , GET is used . With arguments `url`."
"element.find(match, namespaces=None)",Finds the first subelement matching `match` . `namespaces` is an optional mapping from namespace prefix to full name .
readline.get_history_item(index),Return the current contents of history item at `index` .
"curses.is_term_resized(nlines, ncols)","Return True if resize_term ( ) would modify the window structure , False otherwise . With arguments `nlines`, `ncols`."
"code.compile_command(source, filename=""<input>"")","This function is useful for programs that want to emulate Python ’ s interpreter main loop ( a.k.a . `source` is the source string ; `filename` is the optional filename from which source was read , defaulting to ' < input > ' ; and `symbol` is the optional grammar start symbol , which should be either 'single ' ( the default ) or 'eval ' ."
decimal.localcontext(ctx=None),Return a context manager that will set the current context for the active thread to a copy of `ctx` on entry to the with-statement and restore the previous context when exiting the with-statement .
"connection.backup(target, sleep=0.250)","This method makes a backup of a SQLite database even while it ’ s being accessed by other clients , or concurrently by the same connection . The copy will be written into the mandatory argument `target` , that must be another Connection instance . The `sleep` argument specifies the number of seconds to sleep by between successive attempts to backup remaining pages , can be specified either as an integer or a floating point value ."
"base_selector.register(fileobj, events)","Register a file object for selection , monitoring it for I/O `events` . `fileobj` is the file object to monitor ."
stats.sort_stats(*keys),This method modifies the Stats object by sorting it according to the supplied criteria . With arguments `*keys`.
base64.encodestring(s),Deprecated alias of encodebytes ( ) . With arguments `s`.
"msilib.RadioButtonGroup(dlg, name, property)",Create a radio button control named `name` . `property` is the installer property that gets set when a radio button is selected . With arguments `dlg`.
"operator.__setitem__(a, b, c)",Set the value of `a` at index `b` to `c` .
"xmlparser.StartElementHandler(name, attributes)","Called for the start of every element . `name` is a string containing the element name , and `attributes` is the element attributes ."
cab.commit(database),"Generate a CAB file , add it as a stream to the MSI file , put it into the Media table , and remove the generated file from the disk . With arguments `database`."
"os.set_blocking(fd, blocking)",Set the `blocking` mode of the specified file descriptor . With arguments `fd`.
"test_case.assertRegex(text, regex, msg=None)",Test that a `regex` search matches ( or does not match ) `text` . With arguments `msg`.
"xml.etree.ElementTree.fromstringlist(sequence, parser=None)",Parses an XML document from a `sequence` of string fragments . `parser` is an optional parser instance .
finalize.__call__(),"If self is alive then mark it as dead and return the result of calling func ( *args , **kwargs ) ."
tuple(),"Rather than being a function , tuple is actually an immutable sequence type , as documented in Tuples and Sequence Types — list , tuple , range ."
WriteTransport.set_write_buffer_limits(low=None),Set the `high` and `low` watermarks for write flow control .
mmap.write_byte(byte),Write the integer `byte` into memory at the current position of the file pointer ; the file position is advanced by 1 .
bdb.canonic(filename),"Auxiliary method for getting a `filename` in a canonical form , that is , as a case-normalized ( on case-insensitive filesystems ) absolute path , stripped of surrounding angle brackets ."
readline.set_auto_history(enabled),"Enable or disable automatic calls to add_history ( ) when reading input via readline . The `enabled` argument should be a Boolean value that when true , enables auto history , and that when false , disables auto history ."
base_handler.run(app),"Run the specified WSGI application , `app` ."
"difflib.diff_bytes(dfunc, a, b, fromfile=b'', tofile=b'')","Compare `a` and `b` ( lists of bytes objects ) using `dfunc` ; yield a sequence of delta lines ( also bytes ) in the format returned by dfunc . Works by losslessly converting all inputs ( except n ) to str , and calling dfunc ( a , b , `fromfile` , `tofile` , `fromfiledate` , `tofiledate` , n , `lineterm` ) ."
"configparser.ConfigParser(':'), ';'), defaults=None)","The main configuration parser . When `defaults` is given , it is initialized into the dictionary of intrinsic defaults . With arguments `':')`, `';')`."
IMAP4.delete(mailbox),Delete old `mailbox` named mailbox .
webbrowser.get(using=None),Return a controller object for the browser type `using` .
"formatter.convert_field(value, conversion)",Converts the `value` ( returned by get_field ( ) ) given a `conversion` type ( as in the tuple returned by the parse ( ) method ) .
"subprocess.run(args, input=None)","Run the command described by `args` . ( `timeout` , `input` , `check` , and `capture_output` are not . )"
fraction.from_float(flt),"This class method constructs a Fraction representing the exact value of `flt` , which must be a float ."
"cmd.Cmd(stdin=None, stdout=None)",A Cmd instance or subclass instance is a line-oriented interpreter framework . The optional arguments `stdin` and `stdout` specify the input and output file objects that the Cmd instance or subclass instance will use for input and output .
formatter.DumbWriter(maxcol=72),"Simple writer class which writes output on the `file` object passed in as file or , if file is omitted , on standard output . The output is simply word-wrapped to the number of columns specified by `maxcol` ."
"complex(real, imag)","Return a complex number with the value `real` + imag*1j or convert a string or number to a complex number . If `imag` is omitted , it defaults to zero and the constructor serves as a numeric conversion like int and float ."
"bdb.Breakpoint(self, file, line, temporary=0)","This class implements `temporary` breakpoints , ignore counts , disabling and ( re- ) enabling , and conditionals . Breakpoints are indexed by number through a list called bpbynumber and by ( `file` , `line` ) pairs through bplist . With arguments `self`."
os.get_handle_inheritable(handle),Get the “ inheritable ” flag of the specified `handle` ( a boolean ) .
"bisect.bisect_left(a, x, lo=0)",Locate the insertion point for `x` in `a` to maintain sorted order . The parameters `lo` and `hi` may be used to specify a subset of the list which should be considered ; by default the entire list is used .
"shlex.push_source(newstream, newfile=None)","Push an input source stream onto the input stack . With arguments `newstream`, `newfile`."
"locale.format_string(format, val, grouping=False)","Formats a number `val` according to the current LC_NUMERIC setting . The `format` follows the conventions of the % operator . If `grouping` is true , also takes the grouping into account ."
"ctypes.memset(dst, c, count)","Same as the standard C memset library function : fills the memory block at address `dst` with `count` bytes of value c. dst must be an integer specifying an address , or a ctypes instance . With arguments `c`."
opcode,"numeric code for operation, corresponding to the opcode values listed below and the bytecode values in the Opcode collections."
"difflib.context_diff(a, b, n=3)",Compare `a` and `b` ( lists of strings ) ; return a delta ( a generator generating the delta lines ) in context diff format . The number of context lines is set by `n` which defaults to three .
"curses.init_pair(pair_number, fg, bg)",Change the definition of a color-pair . The value of `pair_number` must be between 1 and COLOR_PAIRS - 1 ( the 0 color pair is wired to white on black and can not be changed ) . The value of `fg` and `bg` arguments must be between 0 and COLORS .
"fcntl.lockf(fd, cmd, len=0)","This is essentially a wrapper around the fcntl ( ) locking calls . `fd` is the file descriptor of the file to lock or unlock , and `cmd` is one of the following values : `len` is the number of bytes to lock , `start` is the byte offset at which the lock starts , relative to `whence` , and whence is as with io.IOBase.seek ( ) , specifically :"
vars(object),"Return the __dict__ attribute for a module , class , instance , or any other `object` with a __dict__ attribute ."
BaseProtocol.connection_made(transport),Called when a connection is made . The `transport` argument is the transport representing the connection .
datetime.__str__(),"For a datetime instance d , str ( d ) is equivalent to d.isoformat ( ' ' ) ."
"binascii.b2a_uu(data, backtick=False)","Convert binary `data` to a line of ASCII characters , the return value is the converted line , including a newline char . If `backtick` is true , zeros are represented by ' ` ' instead of spaces ."
"test.support.check_free_after_iterating(test, iter, cls)","Assert that `iter` is deallocated after iterating . With arguments `test`, `cls`."
"select.kevent(ident, data=0)","( Only supported on BSD . ) With arguments `ident`, `data`."
NNTP.login(user=None),Send AUTHINFO commands with the `user` name and `password` .
"NNTP.newnews(group, date)","Send a NEWNEWS command . Here , `group` is a group name or '* ' , and `date` has the same meaning as for newgroups ( ) ."
random.Random(seed),Class that implements the default pseudo-random number generator used by the random module . With arguments `seed`.
"smtpd.SMTPChannel(server, conn, addr)",Create a new SMTPChannel object which manages the communication between the `server` and a single SMTP client . `conn` and `addr` are as per the instance variables described below .
os.register_at_fork(before=None),Register callables to be executed when a new child process is forked using os.fork ( ) or similar process cloning APIs . Functions registered for execution `before` forking are called in reverse registration order .
"directory.glob(pattern, exclude=None)",Add a list of files to the current component as specified in the glob `pattern` . Individual files can be excluded in the `exclude` list .
"doctest.run_docstring_examples(f, globs, name=""NoName"", optionflags=0)","Test examples associated with object `f` ; for example , f may be a string , a module , a function , or a class object . A shallow copy of dictionary argument `globs` is used for the execution context . Optional argument `name` is used in failure messages , and defaults to `` NoName '' . Optional argument `optionflags` works as for function testfile ( ) above ."
chunk.read(size=-1),Read at most `size` bytes from the chunk ( less if the read hits the end of the chunk before obtaining size bytes ) .
"binhex.binhex(input, output)",Convert a binary file with filename `input` to binhex file `output` .
"_c_data.in_dll(library, name)","This method returns a ctypes type instance exported by a shared `library` . `name` is the name of the symbol that exports the data , library is the loaded shared library ."
"doctest.run_docstring_examples(f, globs, optionflags=0)","Test examples associated with object `f` ; for example , f may be a string , a module , a function , or a class object . A shallow copy of dictionary argument `globs` is used for the execution context . Optional argument `optionflags` works as for function testfile ( ) above ."
"dis.dis(x=None, file=None, depth=None)",Disassemble the `x` object . The disassembly is written as text to the supplied `file` argument if provided and to sys.stdout otherwise . The maximal `depth` of recursion is limited by depth unless it is None .
round(number),Return `number` rounded to `ndigits` precision after the decimal point .
"subprocess.Popen(args, close_fds=True)","Execute a child program in a new process . `args` should be a sequence of program arguments or else a single string . If `close_fds` is true , all file descriptors except 0 , 1 and 2 will be closed before the child process is executed ."
"multiprocessing.Value(typecode_or_type, *args, lock=True)",Return a ctypes object allocated from shared memory . `typecode_or_type` determines the type of the returned object : it is either a ctypes type or a one character typecode of the kind used by the array module . `*args` is passed on to the constructor for the type . If `lock` is True ( the default ) then a new recursive lock object is created to synchronize access to the value .
bz2.open(filename),"Open a bzip2-compressed file in binary or text `mode` , returning a file object . As with the constructor for BZ2File , the `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to ."
charset.__str__(),Returns input_charset as a string coerced to lower case .
header.encode(\t'),"Encode a message header into an RFC-compliant format , possibly wrapping long lines and encapsulating non-ASCII parts in base64 or quoted-printable encodings . With arguments `\t'`."
SIG*,All the signal numbers are defined symbolically.
"timeit.timeit(stmt='pass', setup='pass')","Create a Timer instance with the given statement , `setup` code and `timer` function and run its timeit ( ) method with `number` executions . With arguments `stmt`."
"print(*objects, flush=False)","Print objects to the text stream `file` , separated by `sep` and followed by `end` . sep , end , file and `flush` , if present , must be given as keyword arguments . With arguments `*objects`."
doctest.DocTestFinder(parser=DocTestParser()),"A processing class used to extract the DocTests that are relevant to a given object , from its docstring and the docstrings of its contained objects . The optional argument `parser` specifies the DocTestParser object ( or a drop-in replacement ) that is used to extract doctests from docstrings ."
"multiprocessing.Process(group=None, args=())",Process objects represent activity that is run in a separate process . `group` should always be None ; it exists solely for compatibility with threading.Thread . `args` is the argument tuple for the target invocation .
RuntimeError,Raised when an error is detected that doesn’t fall in any of the other categories.
"View.Modify(kind, data)","Modify the view , by calling MsiViewModify ( ) . `kind` can be one of MSIMODIFY_SEEK , MSIMODIFY_REFRESH , MSIMODIFY_INSERT , MSIMODIFY_UPDATE , MSIMODIFY_ASSIGN , MSIMODIFY_REPLACE , MSIMODIFY_MERGE , MSIMODIFY_DELETE , MSIMODIFY_INSERT_TEMPORARY , MSIMODIFY_VALIDATE , MSIMODIFY_VALIDATE_NEW , MSIMODIFY_VALIDATE_FIELD , or MSIMODIFY_VALIDATE_DELETE . `data` must be a record describing the new data ."
venv.EnvBuilder(clear=False),The EnvBuilder class accepts the following keyword arguments on instantiation : With arguments `clear`.
Match.group(group1),"Returns one or more subgroups of the match . Without arguments , `group1` defaults to zero ( the whole match is returned ) ."
"inspect.Parameter(name, kind, annotation=Parameter.empty)","Parameter objects are immutable . With arguments `name`, `kind`, `annotation`."
"csv.reader(csvfile, **fmtparams, dialect='excel')",Return a reader object which will iterate over lines in the given `csvfile` . 1 An optional `dialect` parameter can be given which is used to define a set of parameters specific to a particular CSV dialect . With arguments `**fmtparams`.
"text_calendar.formatyear(theyear, w=2, l=1)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`."
"oss_mixer_device.set(control, (left, right))","Sets the volume for a given mixer `control` to ( left , right ) . With arguments `(left`, `right)`."
"doctest.DocTest(examples, globs, name, filename, lineno, docstring)","A collection of doctest `examples` that should be run in a single namespace . With arguments `globs`, `name`, `filename`, `lineno`, `docstring`."
sum(iterable),Sums `start` and the items of an `iterable` from left to right and returns the total .
"cgitb.enable(display=1, context=5)",This function causes the cgitb module to take over the interpreter ’ s default handling for exceptions by setting the value of sys.excepthook . The optional argument `display` defaults to 1 and can be set to 0 to suppress sending the traceback to the browser . The optional argument `context` is the number of lines of context to display around the current line of source code in the traceback ; this defaults to 5 .
"bisect.bisect_left(a, x, lo=0)",Locate the insertion point for `x` in `a` to maintain sorted order . The parameters `lo` and `hi` may be used to specify a subset of the list which should be considered ; by default the entire list is used .
ctypes._FuncPtr,Base class for C callable foreign functions.
"gettext.ngettext(singular, plural, n)","Like gettext ( ) , but consider `plural` forms . If no translation is found , return `singular` if n is 1 ; return plural otherwise . If a translation is found , apply the plural formula to `n` , and return the resulting message ( some languages have more than two plural forms ) ."
fileinput.input(inplace=False),Create an instance of the FileInput class . With arguments `inplace`.
bz2.BZ2File(filename),"Open a bzip2-compressed file in binary `mode` . If `filename` is a str or bytes object , open the named file directly ."
"shlex.split(s, comments=False)","Split the string `s` using shell-like syntax . If `comments` is False ( the default ) , the parsing of comments in the given string will be disabled ( setting the commenters attribute of the shlex instance to the empty string ) ."
"itertools.repeat(object, times)",Make an iterator that returns `object` over and over again . Runs indefinitely unless the `times` argument is specified .
"deque.index(x, start)",Return the position of `x` in the deque ( at or after index `start` and before index `stop` ) .
"test_case.assertAlmostEqual(first, second, places=7)","Test that `first` and `second` are approximately ( or not approximately ) equal by computing the difference , rounding to the given number of decimal `places` ( default 7 ) , and comparing to zero ."
memoryview.__eq__(exporter),A memoryview and a PEP 3118 `exporter` are equal if their shapes are equivalent and if all corresponding values are equal when the operands ’ respective format codes are interpreted using struct syntax .
element.find(match),Finds the first subelement matching `match` .
turtle.dot(*color),"Draw a circular dot with diameter `size` , using color . With arguments `*color`."
traceback.print_exc(chain=True),"This is a shorthand for print_exception ( *sys.exc_info ( ) , `limit` , `file` , `chain` ) ."
argparse.FileType(bufsize=-1),The FileType factory creates objects that can be passed to the type argument of ArgumentParser.add_argument ( ) . With arguments `bufsize`.
ctypes.POINTER(type),This factory function creates and returns a new ctypes pointer `type` .
"doctest.DocTest(examples, globs, name, filename, lineno, docstring)","A collection of doctest `examples` that should be run in a single namespace . With arguments `globs`, `name`, `filename`, `lineno`, `docstring`."
class.__bases__,The tuple of base classes of a class object.
queue_listener.getChild(suffix),"Returns a logger which is a descendant to this logger , as determined by the `suffix` ."
"email.contentmanager.get_content(msg, errors='replace')","Return the payload of the part as either a string ( for text parts ) , an EmailMessage object ( for message/rfc822 parts ) , or a bytes object ( for all other non-multipart types ) . If the part is a text part and `errors` is specified , use it as the error handler when decoding the payload to unicode . With arguments `msg`."
IMAP4.abort,IMAP4 server errors cause this exception to be raised.
"sorted(iterable, key=None, reverse=False)","Return a new sorted list from the items in `iterable` . `key` specifies a function of one argument that is used to extract a comparison key from each element in iterable ( for example , key=str.lower ) . `reverse` is a boolean value ."
"SimpleXMLRPCServer.register_instance(instance, allow_dotted_names=False)","Register an object which is used to expose method names which have not been registered using register_function ( ) . If `instance` contains a _dispatch ( ) method , it is called with the requested method name and the parameters from the request . If the optional `allow_dotted_names` argument is true and the instance does not have a _dispatch ( ) method , then if the requested method name contains periods , each component of the method name is searched for individually , with the effect that a simple hierarchical search is performed ."
"gzip.open(filename, mode='rb')","Open a gzip-compressed file in binary or text `mode` , returning a file object . The `filename` argument can be an actual filename ( a str or bytes object ) , or an existing file object to read from or write to ."
unittest.TestSuite(tests=()),"This class represents an aggregation of individual test cases and test suites . If `tests` is given , it must be an iterable of individual test cases or other test suites that will be used to build the suite initially ."
"msilib.Feature(db, id, title, desc, display, level=1)","Add a new record to the Feature table , using the values `id` , parent.id , `title` , `desc` , `display` , `level` , `directory` , and `attributes` . With arguments `db`."
ssl.get_server_certificate(addr),"Given the address `addr` of an SSL-protected server , as a ( hostname , port-number ) pair , fetches the server ’ s certificate , and returns it as a PEM-encoded string ."
"text_calendar.formatyear(theyear, w=2, l=1)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`."
"slice(start, stop)","Return a slice object representing the set of indices specified by range ( `start` , `stop` , `step` ) ."
"xml.etree.ElementTree.SubElement(parent, tag, **extra)",Subelement factory . `parent` is the parent element . `tag` is the subelement name . With arguments `**extra`.
bdb.Bdb(skip=None),"The Bdb class acts as a generic Python debugger base class . The `skip` argument , if given , must be an iterable of glob-style module name patterns ."
parser.parsestr(text),"Similar to the parse ( ) method , except it takes a string object instead of a file-like object . Calling this method on a string is equivalent to wrapping `text` in a StringIO instance first and calling parse ( ) ."
"Telnet.expect(list, timeout=None)","Read until one from a `list` of a regular expressions matches . The optional second argument is a `timeout` , in seconds ; the default is to block indefinitely ."
@unittest.skip(reason),Unconditionally skip the decorated test . `reason` should describe why the test is being skipped .
"mmap.move(dest, src, count)",Copy the `count` bytes starting at offset `src` to the destination index `dest` .
sqlite3.version,"The version number of this module, as a string."
"difflib.context_diff(a, b, fromfile='')","Compare `a` and `b` ( lists of strings ) ; return a delta ( a generator generating the delta lines ) in context diff format . Any or all of these may be specified using strings for `fromfile` , `tofile` , `fromfiledate` , and `tofiledate` ."
"Queue.put(item, block=True)","Put `item` into the queue . If optional args `block` is true and `timeout` is None ( the default ) , block if necessary until a free slot is available ."
TarInfo.fromtarfile(tarfile),Read the next member from the TarFile object `tarfile` and return it as a TarInfo object .
xml.sax.saxutils.XMLGenerator(encoding='iso-8859-1'),This class implements the ContentHandler interface by writing SAX events back into an XML document . `encoding` is the encoding of the output stream which defaults to 'iso-8859-1 ' .
base_handler.run(app),"Run the specified WSGI application , `app` ."
"text_calendar.formatyear(theyear, m=3)","Return a m-column calendar for an entire year as a multi-line string . With arguments `theyear`, `m`."
ArgumentParser.set_defaults(**kwargs),"Most of the time , the attributes of the object returned by parse_args ( ) will be fully determined by inspecting the command-line arguments and the argument actions . With arguments `**kwargs`."
"text_calendar.formatyear(theyear, l=1)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`."
IMAP4.close(),Close currently selected mailbox .
"bdb.checkfuncname(b, frame)","Check whether we should break here , depending on the way the breakpoint `b` was set . If it was set via line number , it checks if b.line is the same as the one in the `frame` also passed as argument ."
"calendar.prcal(year, w=0)",Prints the calendar for an entire `year` as returned by calendar ( ) . With arguments `w`.
"zipfile.ZipInfo(1, 1, 0, 0, 0))","Class used to represent information about a member of an archive . With arguments `1`, `1`, `0`, `0`, `0)`."
element.append(subelement),Adds the element `subelement` to the end of this element ’ s internal list of subelements .
"warnings.filterwarnings(action, append=False)","Insert an entry into the list of warnings filter specifications . The entry is inserted at the front by default ; if `append` is true , it is inserted at the end . With arguments `action`."
"turtle.onclick(fun, add=None)",Bind `fun` to mouse-click events on this turtle . With arguments `add`.
"hasattr(object, name)","The arguments are an `object` and a string . The result is True if the string is the `name` of one of the object ’ s attributes , False if not ."
"POP3.apop(user, secret)","Use the more secure APOP authentication to log into the POP3 server . With arguments `user`, `secret`."
"int(x, base=10)","Return an integer object constructed from a number or string `x` , or return 0 if no arguments are given . If x is not a number or if `base` is given , then x must be a string , bytes , or bytearray instance representing an integer literal in radix base ."
mh_message.add_sequence(sequence),Add `sequence` to the list of sequences that include this message .
"test_case.assertRaisesRegex(exception, regex)",Like assertRaises ( ) but also tests that `regex` matches on the string representation of the raised `exception` .
SubprocessTransport.send_signal(signal),"Send the `signal` number to the subprocess , as in subprocess.Popen.send_signal ( ) ."
"pool.apply(func, args)",Call `func` with arguments `args` and keyword arguments `kwds` .
"type(name, bases, dict)","With one argument , return the type of an object . The `name` string is the class name and becomes the __name__ attribute ; the `bases` tuple itemizes the base classes and becomes the __bases__ attribute ; and the `dict` dictionary is the namespace containing definitions for class body and is copied to a standard dictionary to become the __dict__ attribute ."
"doc_test_parser.get_examples(string, name='<string>')","Extract all doctest examples from the given `string` , and return them as a list of Example objects . The optional argument `name` is a name identifying this string , and is only used for error messages ."
"aifc.setmark(id, pos, name)","Add a mark with the given `id` ( larger than 0 ) , and the given `name` at the given position . With arguments `pos`."
